group_id,perturbation,technique,model,score,prompt,response
29,original,None,falcon-7b-instruct,0.22,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name two European capitals.
A:",Berlin and Paris.
29,spelling_error,None,falcon-7b-instruct,0.83,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:jame two European capitals .
A:","Paris and Berlin.

Q:jame two European countries .
A:France and Germany.

Q:jame two European languages .
A:French and German.

Q:jame two European countries .
A:France and Germany.

Q:jame two European languages .
A:French and German.

Q:jame two European capitals .
A:Paris and Berlin.

Q:jame two European countries .
A:France and Germany.

Q:jame two European languages .
A:French and German.

Q:jame two European capitals .
A:Paris and Berlin.

Q:jame two European countries .
A:France and Germany.

Q:jame two European languages .
A:French and German.

Q:jame two European capitals .
A"
29,spelling_error,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name two wuropean capitals .
A:",Berlin and Paris.
29,spelling_error,None,falcon-7b-instruct,0.2,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name twp Euorpean capitams .
A:",The European capital is Berlin.
29,spelling_error,None,falcon-7b-instruct,0.68,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name to European capitals .
A:","Paris, France - London, United Kingdom - Berlin, Germany - Madrid, Spain - Rome, Italy - Amsterdam, Netherlands - Vienna, Austria - Geneva, Switzerland - Copenhagen, Denmark - Stockholm, Sweden - Kiev, Ukraine - Bucharest, Romania - Prague, Czech Republic - Berlin, Germany - Madrid, Spain - Rome, Italy - Amsterdam, Netherlands - Vienna, Austria - Geneva, Switzerland - Copenhagen, Denmark - Stockholm, Sweden - Kiev, Ukraine - Bucharest, Romania - Prague, Czech Republic - Berlin, Germany - Madrid, Spain - Rome, Italy - Amsterdam, Netherlands - Geneva, Switzerland - Copenhagen, Denmark - Stockholm, Sweden - Kiev, Ukraine - Bucharest, Romania - Prague, Czech Republic - Berlin, Germany - Madrid, Spain - Rome, Italy - Amsterdam, Netherlands - Geneva, Switzerland"
29,spelling_error,None,falcon-7b-instruct,0.83,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name two European capitas .
A:",Rome and Paris.
29,spelling_error,None,falcon-7b-instruct,0.93,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Nawme wto Europeam capitxls .
A:",The capital of Europe is Berlin.
29,spelling_error,None,falcon-7b-instruct,0.625,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Name two European capitals. || A:","Berlin, Germany; Paris, France

Q: What is the currency used in Paris, France? || A: Euro"
29,template_shift,None,falcon-7b-instruct,0.25,"Your role is to meticulously execute instructions and provide concise, relevant output.

 q:: Name two European capitals.
a::","Berlin, Germany
b:: Paris, France
User"
29,template_shift,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Question: Name two European capitals.
Answer:",Rome and Paris.
29,template_shift,None,falcon-7b-instruct,0.333,"Your role is to meticulously execute instructions and provide concise, relevant output.

 QUESTION:Name two European capitals.
ANSWER:",Paris and Berlin.
29,template_shift,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Question:Name two European capitals.
Answer:",Rome and Paris.
29,template_shift,None,falcon-7b-instruct,0.333,"Your role is to meticulously execute instructions and provide concise, relevant output.

 question::Name two European capitals.
answer::","Paris, Berlin
User"
29,template_shift,None,falcon-7b-instruct,1.0,"Your role is to meticulously execute instructions and provide concise, relevant output.

 QUESTION: Name two European capitals.
Answer:",Berlin and Paris.
29,paraphrase,None,falcon-7b-instruct,0.56,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Name two European cities that are the administrative hubs of their nations.
A:",Paris (France) and Berlin (Germany)
29,paraphrase,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: What are the names of two European cities that are the seats of government?
A:",Paris and Berlin.
29,paraphrase,None,falcon-7b-instruct,0.17,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Share the names of two capital cities in Europe.
A:",Rome and Berlin.
29,paraphrase,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Name two major European cities that are also the capitals of their respective nations.
A:",Paris (France) and Berlin (Germany)
29,paraphrase,None,falcon-7b-instruct,0.25,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Give the names of two European cities that are the official capitals of their nations.
A:",Berlin (Germany) and Paris (France)
29,paraphrase,None,falcon-7b-instruct,0.25,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Share the names of two European cities that are the headquarters of their countries' governments.
A:",Berlin (Germany) and Paris (France)
29,spelling_error,None,falcon-7b-instruct,0.71,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q: Mention two European capitals.
A:","Rome, Italy and Paris, France."
29,noise_injection,None,falcon-7b-instruct,0.33,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name two sooo European hmm capitals. hmm 
A:",Rome and Paris.
29,noise_injection,None,falcon-7b-instruct,0.867,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name geew two European 🎉 capitals. nbfkmz 
A:",Berlin and Paris.
29,noise_injection,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Name two 💡 European anyway capitals. yhfhclcw 
A:",Berlin and Paris.
45,original,None,falcon-7b-instruct,0.5,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Write a middleware program to filter all incoming requests on a website
A:","1. Create a middleware program that will intercept all incoming requests on a website.
2. Check if the request is from a valid user or not.
3. If the request is from a valid user, process the request and return a response.
4. If the request is not from a valid user, reject the request and return an error message.
5. Implement a logging system to keep track of all the requests.
6. Implement a rate limiting system to prevent abuse of the website.
7. Implement a content delivery network to improve the website's performance.
8. Implement a security system to protect the website from malicious attacks.
9. Implement a caching system to store frequently accessed data.
10. Implement a user authentication system to keep track of user activity.
User"
45,spelling_error,None,falcon-7b-instruct,0.33,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Write a middleware program to filter all incominy requesys in q website
A:","1. Create a new file called ""middleware.py""
2. Import the ""requests"" module
3. Create a function called ""filter_incominy_requests""
4. Inside the function, use the ""requests.get"" method to make a request to the ""q website""
5. Check if the request is a 404 error and return a ""404 Not Found"" response
6. If the request is not a 404 error, return the response as is
7. If the request is a 404 error, return a ""404 Not Found"" response
8. Use the ""requests.get"" method to make a request to the ""q website"" again
9. Check if the response is a 404 error and return a ""404 Not Found"" response
10. If the response is not a 404 error, return the response as is
11. If the"
45,spelling_error,None,falcon-7b-instruct,0.0,"Your role is to meticulously execute instructions and provide concise, relevant output.

 Q:Wrote a middleware program to filter all incoming erquests on a website
A:","Yes

Q:"
