model,id,orig,min,max,mean,std
GPT2-medium,30,0.0,0.0,0.1,0.01,0.030000000000000002
EleutherAI-pythia-410m,30,0.0,0.0,0.8,0.325,0.373329613076702
Falcon-7b-instruct,30,0.5,0.0,0.75,0.275,0.28394541729001366
GPT2-medium,31,0.0,0.0,0.1,0.022222222222222223,0.041573970964154904
EleutherAI-pythia-410m,31,0.0,0.0,0.2,0.022222222222222223,0.0628539361054709
Falcon-7b-instruct,31,0.8,0.0,0.8,0.2888888888888889,0.31778554769055756
GPT2-medium,32,0.5,0.0,0.7,0.37,0.2051828452868319
EleutherAI-pythia-410m,32,0.2,0.0,0.9,0.4444444444444444,0.35311663515712677
Falcon-7b-instruct,32,0.75,0.5,0.95,0.7125,0.17455300054711176
GPT2-medium,33,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,33,0.0,0.0,0.8,0.16,0.32
Falcon-7b-instruct,33,0.5,0.0,0.5,0.2777777777777778,0.24845199749997665
GPT2-medium,34,0.0,0.0,0.8,0.14444444444444446,0.2793290019994785
EleutherAI-pythia-410m,34,0.5,0.0,0.5,0.05,0.15000000000000002
Falcon-7b-instruct,34,0.85,0.8,0.95,0.845,0.0567890834580027
GPT2-medium,35,0.0,0.0,0.8,0.16,0.32
EleutherAI-pythia-410m,35,0.0,0.0,0.8,0.08888888888888889,0.2514157444218836
Falcon-7b-instruct,35,0.8,0.0,0.95,0.5349999999999999,0.36541072781186923
GPT2-medium,36,0.0,0.0,0.8,0.1,0.24083189157584592
EleutherAI-pythia-410m,36,0.5,0.0,0.5,0.075,0.16393596310755001
Falcon-7b-instruct,36,0.9,0.0,0.9,0.47777777777777786,0.3909469352390929
GPT2-medium,37,0.0,0.0,0.9,0.13,0.26851443164195105
EleutherAI-pythia-410m,37,0.0,0.0,0.9,0.22000000000000003,0.34871191548325386
Falcon-7b-instruct,37,0.8,0.0,0.85,0.635,0.2530316185775999
GPT2-medium,38,0.0,0.0,1.0,0.19,0.38065732621348564
EleutherAI-pythia-410m,38,0.8,0.0,0.9,0.325,0.42056509603151804
Falcon-7b-instruct,38,0.0,0.0,0.9,0.43333333333333335,0.40688518719112343
GPT2-medium,39,0.0,0.0,0.2,0.03333333333333334,0.06666666666666668
EleutherAI-pythia-410m,39,0.0,0.0,0.9,0.11499999999999999,0.2720753572082558
Falcon-7b-instruct,39,0.5,0.0,0.8,0.43,0.328785644455472
